template_id,suite,visibility,full_context,no_memory,memory_discriminativeness_index,simple_retrieval,structured_agentic,memory_gap_closure_b2,memory_gap_closure_b3,baseline_span,structured_over_retrieval,memory_benefit,irrelevant_memory_stability,memory_harm,harm_resistance,recommendation,reasons
MIB-CAUSAL-004,causal,hidden_eval,1.0,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,0.5666666666666667,0.0,0.5666666666666667,1.0,0.0,1.0,provisional_pass,
MIB-CAUSAL-005,causal,hidden_eval,1.0,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,0.5666666666666667,0.0,0.5666666666666667,1.0,0.0,1.0,provisional_pass,
MIB-CAUSAL-006,causal,hidden_eval,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-CAUSAL-007,causal,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-CAUSAL-008,causal,private_holdout,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-EPI-005,epistemic,hidden_eval,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.0,0.25,1.0,0.0,1.0,provisional_pass,
MIB-EPI-006,epistemic,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-EPI-007,epistemic,hidden_eval,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,provisional_pass,
MIB-EPI-008,epistemic,hidden_eval,1.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,1.0,1.0,,,provisional_pass,
MIB-EPI-009,epistemic,hidden_eval,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,1.0,provisional_pass,
MIB-EPI-010,epistemic,private_holdout,1.0,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,1.0,1.0,0.0,1.0,provisional_pass,
MIB-EXP-004,experience,hidden_eval,1.0,0.13333333333333333,0.8666666666666667,0.13333333333333333,1.0,0.0,1.0,0.8666666666666667,0.8666666666666667,0.43333333333333335,1.0,0.0,1.0,provisional_pass,
MIB-EXP-005,experience,hidden_eval,1.0,0.2,0.8,0.2,1.0,0.0,1.0,0.8,0.8,0.8,1.0,,,provisional_pass,
MIB-EXP-006,experience,hidden_eval,1.0,0.13333333333333333,0.8666666666666667,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,0.8666666666666667,1.0,0.0,1.0,provisional_pass,
MIB-EXP-007,experience,hidden_eval,1.0,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,0.5666666666666667,0.0,0.5666666666666667,1.0,0.0,1.0,provisional_pass,
MIB-EXP-008,experience,private_holdout,1.0,0.1,0.9,1.0,1.0,1.0,1.0,0.9,0.0,0.45,1.0,0.0,1.0,provisional_pass,
MIB-RET-005,recall,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,provisional_pass,
MIB-RET-006,recall,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,provisional_pass,
MIB-RET-007,recall,hidden_eval,1.0,0.0,1.0,0.625,1.0,0.625,1.0,1.0,0.375,1.0,1.0,,,provisional_pass,
MIB-RET-008,recall,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,provisional_pass,
MIB-RET-009,recall,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,provisional_pass,
MIB-RET-010,recall,private_holdout,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,provisional_pass,
MIB-SKILL-004,skill,hidden_eval,1.0,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,0.5666666666666667,0.0,0.5666666666666667,1.0,,,provisional_pass,
MIB-SKILL-005,skill,hidden_eval,1.0,0.4666666666666667,0.5333333333333333,1.0,1.0,1.0,1.0,0.5333333333333333,0.0,0.5333333333333333,,,,provisional_pass,
MIB-SKILL-006,skill,hidden_eval,1.0,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,0.5666666666666667,0.0,0.5666666666666667,1.0,0.0,1.0,provisional_pass,
MIB-SKILL-007,skill,hidden_eval,1.0,0.43333333333333335,0.5666666666666667,1.0,1.0,1.0,1.0,0.5666666666666667,0.0,0.5666666666666667,1.0,0.0,1.0,provisional_pass,
MIB-SKILL-008,skill,private_holdout,1.0,0.25,0.75,0.25,1.0,0.0,1.0,0.75,0.75,0.75,1.0,,,provisional_pass,
MIB-TIME-005,time,hidden_eval,1.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666667,1.0,1.0,0.0,1.0,provisional_pass,
MIB-TIME-006,time,hidden_eval,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,provisional_pass,
MIB-TIME-007,time,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-TIME-008,time,hidden_eval,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-TIME-009,time,hidden_eval,1.0,0.21666666666666667,0.7833333333333333,0.5,1.0,0.36170212765957444,1.0,0.7833333333333333,0.5,0.2833333333333333,1.0,0.0,1.0,provisional_pass,
MIB-TIME-010,time,private_holdout,1.0,0.3333333333333333,0.6666666666666667,1.0,1.0,1.0,1.0,0.6666666666666667,0.0,0.5555555555555556,1.0,0.0,1.0,provisional_pass,
MIB-X-004,cross,hidden_eval,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-X-005,cross,hidden_eval,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,provisional_pass,
MIB-X-006,cross,hidden_eval,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,provisional_pass,
