template_id,suite,visibility,full_context,no_memory,memory_discriminativeness_index,simple_retrieval,structured_agentic,memory_gap_closure_b2,memory_gap_closure_b3,baseline_span,structured_over_retrieval,memory_benefit,irrelevant_memory_stability,memory_harm,harm_resistance,recommendation,reasons,causal_risks
MIB-CAUSAL-004,causal,hidden_eval,0.3,0.3,0.0,0.3,0.3,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-CAUSAL-005,causal,hidden_eval,0.3,0.3,0.0,0.3,0.3,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-CAUSAL-006,causal,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-CAUSAL-007,causal,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-CAUSAL-008,causal,private_holdout,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EPI-005,epistemic,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EPI-006,epistemic,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EPI-007,epistemic,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EPI-008,epistemic,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
MIB-EPI-009,epistemic,hidden_eval,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,1.0,revise_or_empirically_review,fixture_full_context_below_target;memory_discriminativeness_below_target;baseline_separation_too_small,relevant_ablation_low_effect
